;title;processId;processName;priority;ownedBy;processNumber;createdBy;state;createdDate;updatedDate;processDN;levels;href
10;Instance #100011 of Verification;100011;Verification;5;Public Works.ProcessOwner;201077;flip@profmap.com;OPEN;2019-10-17T11:54:37.000Z;2020-02-27T12:45:31.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100011
11;Instance #100045 of Verification;100045;Verification;5;Public Works.ProcessOwner;201204;flip@profmap.com;OPEN;2019-10-17T12:47:49.000Z;2019-10-31T06:28:45.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100045
12;Instance #100053 of Verification;100053;Verification;5;Public Works.ProcessOwner;201212;flip@profmap.com;OPEN;2019-10-17T12:51:59.000Z;2020-03-18T06:31:08.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100053
13;Instance #100071 of Verification;100071;Verification;5;Public Works.ProcessOwner;201300;patrick;OPEN;2019-10-20T07:14:13.000Z;2019-10-20T07:14:21.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100071
14;Instance #110180 of Verification;110180;Verification;5;Public Works.ProcessOwner;201302;patrick;OPEN;2019-10-20T07:47:02.000Z;2019-10-20T07:47:12.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110180
15;Instance #110182 of Verification;110182;Verification;5;Public Works.ProcessOwner;201304;neville;OPEN;2019-10-21T12:06:59.000Z;2019-10-31T13:30:48.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110182
16;Instance #110185 of Verification;110185;Verification;5;Public Works.ProcessOwner;201308;neville;OPEN;2019-10-21T12:25:55.000Z;2020-02-25T06:56:13.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110185
17;Instance #110272 of Verification;110272;Verification;5;Public Works.ProcessOwner;201455;neville;OPEN;2019-10-31T06:46:30.000Z;2020-03-13T07:25:48.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110272
18;Instance #100121 of Verification;100121;Verification;5;Public Works.ProcessOwner;201457;neville;OPEN;2019-10-31T06:53:53.000Z;2019-10-31T06:53:53.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100121
19;Instance #100123 of Verification;100123;Verification;5;Public Works.ProcessOwner;201461;neville;OPEN;2019-10-31T07:24:05.000Z;2020-03-15T10:46:02.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100123
20;Instance #100127 of Verification;100127;Verification;5;Public Works.ProcessOwner;201467;neville;OPEN;2019-10-31T07:43:12.000Z;2019-10-31T07:43:13.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100127
21;Instance #110278 of Verification;110278;Verification;5;Public Works.ProcessOwner;201473;neville;OPEN;2019-10-31T08:34:59.000Z;2020-02-23T16:38:41.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110278
22;Instance #110286 of Verification;110286;Verification;5;Public Works.ProcessOwner;201485;neville;OPEN;2019-10-31T09:57:50.000Z;2019-10-31T09:57:50.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110286
23;Instance #110288 of Verification;110288;Verification;5;Public Works.ProcessOwner;201487;neville;OPEN;2019-10-31T09:59:10.000Z;2019-10-31T09:59:10.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110288
24;Instance #100137 of Verification;100137;Verification;5;Public Works.ProcessOwner;201491;neville;OPEN;2019-10-31T10:01:37.000Z;2019-10-31T10:01:37.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100137
25;Instance #100139 of Verification;100139;Verification;5;Public Works.ProcessOwner;201493;neville;OPEN;2019-10-31T10:02:20.000Z;2019-12-05T12:06:46.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100139
26;Instance #110292 of Verification;110292;Verification;5;Public Works.ProcessOwner;201495;neville;OPEN;2019-10-31T10:03:20.000Z;2019-11-13T09:30:42.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110292
27;Instance #100145 of Verification;100145;Verification;5;Public Works.ProcessOwner;201505;neville;OPEN;2019-10-31T10:31:17.000Z;2019-11-28T06:50:08.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100145
28;Instance #100147 of Verification;100147;Verification;5;Public Works.ProcessOwner;201507;neville;OPEN;2019-10-31T10:35:28.000Z;2019-11-28T06:49:38.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100147
29;Instance #100149 of Verification;100149;Verification;5;Public Works.ProcessOwner;201511;neville;OPEN;2019-10-31T10:42:05.000Z;2020-03-13T08:32:35.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100149
30;Instance #110300 of Verification;110300;Verification;5;Public Works.ProcessOwner;201513;neville;OPEN;2019-10-31T10:44:21.000Z;2019-11-28T06:47:20.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110300
31;Instance #100151 of Verification;100151;Verification;5;Public Works.ProcessOwner;201515;neville;OPEN;2019-10-31T11:58:20.000Z;2019-10-31T11:58:21.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100151
32;Instance #110316 of Verification;110316;Verification;5;Public Works.ProcessOwner;201537;neville;OPEN;2019-10-31T12:23:30.000Z;2020-03-16T07:29:45.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110316
33;Instance #110327 of Verification;110327;Verification;5;Public Works.ProcessOwner;201558;neville;OPEN;2019-10-31T13:22:44.000Z;2019-11-28T06:44:42.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110327
34;Instance #100169 of Verification;100169;Verification;5;Public Works.ProcessOwner;201561;neville;OPEN;2019-10-31T13:24:31.000Z;2019-10-31T13:24:32.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100169
35;Instance #100173 of Verification;100173;Verification;5;Public Works.ProcessOwner;201571;neville;OPEN;2019-10-31T13:38:50.000Z;2019-11-18T09:53:07.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100173
36;Instance #110338 of Verification;110338;Verification;5;Public Works.ProcessOwner;201575;neville;OPEN;2019-10-31T13:41:57.000Z;2019-10-31T13:41:57.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110338
37;Instance #110340 of Verification;110340;Verification;5;Public Works.ProcessOwner;201577;neville;OPEN;2019-10-31T13:43:59.000Z;2020-02-25T08:55:13.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110340
38;Instance #100261 of Verification;100261;Verification;5;Public Works.ProcessOwner;201862;neville;OPEN;2019-11-14T10:16:32.000Z;2020-05-10T19:43:30.000Z;oracleinternalpcs~Public_Works!4~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100261
39;Instance #110508 of Verification;110508;Verification;5;Public Works.ProcessOwner;201893;neville;OPEN;2019-11-19T09:22:20.000Z;2020-03-06T05:57:50.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110508
40;Instance #100280 of Verification;100280;Verification;5;Public Works.ProcessOwner;201913;neville;OPEN;2019-11-20T07:36:24.000Z;2019-11-20T07:36:26.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100280
41;Instance #110517 of Verification;110517;Verification;5;Public Works.ProcessOwner;201921;ridhwannah;OPEN;2019-11-20T08:23:33.000Z;2020-03-13T13:06:04.000Z;oracleinternalpcs~Public_Works!4~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110517
42;Instance #100286 of Verification;100286;Verification;5;Public Works.ProcessOwner;201923;ridhwannah;OPEN;2019-11-20T08:41:24.000Z;2020-03-11T12:02:49.000Z;oracleinternalpcs~Public_Works!4~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100286
43;Instance #100289 of Verification;100289;Verification;5;Public Works.ProcessOwner;201926;ridhwannah;OPEN;2019-11-20T08:47:09.000Z;2020-03-16T14:12:59.000Z;oracleinternalpcs~Public_Works!4~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100289
44;Instance #110519 of Verification;110519;Verification;5;Public Works.ProcessOwner;201928;ridhwannah;OPEN;2019-11-20T08:49:45.000Z;2020-02-26T13:27:37.000Z;oracleinternalpcs~Public_Works!4~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110519
45;Instance #110521 of Verification;110521;Verification;5;Public Works.ProcessOwner;201930;ridhwannah;OPEN;2019-11-20T08:55:38.000Z;2020-03-03T07:46:34.000Z;oracleinternalpcs~Public_Works!4~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110521
46;Instance #110523 of Verification;110523;Verification;5;Public Works.ProcessOwner;201932;ridhwannah;OPEN;2019-11-20T08:57:43.000Z;2020-03-12T13:21:01.000Z;oracleinternalpcs~Public_Works!4~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110523
47;Instance #110525 of Verification;110525;Verification;5;Public Works.ProcessOwner;201934;ridhwannah;OPEN;2019-11-20T08:59:14.000Z;2019-11-20T08:59:14.000Z;oracleinternalpcs~Public_Works!4~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110525
48;Instance #100291 of Verification;100291;Verification;5;Public Works.ProcessOwner;201936;ridhwannah;OPEN;2019-11-20T09:01:54.000Z;2020-03-16T09:18:32.000Z;oracleinternalpcs~Public_Works!4~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100291
49;Instance #110527 of Verification;110527;Verification;5;Public Works.ProcessOwner;201938;ridhwannah;OPEN;2019-11-20T09:03:27.000Z;2020-05-10T19:22:44.000Z;oracleinternalpcs~Public_Works!4~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110527
50;Instance #110529 of Verification;110529;Verification;5;Public Works.ProcessOwner;201940;ridhwannah;OPEN;2019-11-20T09:04:52.000Z;2020-03-18T12:43:48.000Z;oracleinternalpcs~Public_Works!4~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110529
51;Instance #110531 of Verification;110531;Verification;5;Public Works.ProcessOwner;201942;ridhwannah;OPEN;2019-11-20T09:11:03.000Z;2020-02-27T09:41:53.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110531
52;Instance #110533 of Verification;110533;Verification;5;Public Works.ProcessOwner;201944;ridhwannah;OPEN;2019-11-20T09:12:57.000Z;2020-03-18T06:58:34.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110533
53;Instance #110535 of Verification;110535;Verification;5;Public Works.ProcessOwner;201946;ridhwannah;OPEN;2019-11-20T09:16:53.000Z;2020-04-21T07:06:51.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110535
54;Instance #100293 of Verification;100293;Verification;5;Public Works.ProcessOwner;201948;ridhwannah;OPEN;2019-11-20T09:19:09.000Z;2020-03-30T07:33:58.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100293
55;Instance #110538 of Verification;110538;Verification;5;Public Works.ProcessOwner;201953;ridhwannah;OPEN;2019-11-20T09:34:15.000Z;2020-03-11T10:21:41.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110538
56;Instance #110540 of Verification;110540;Verification;5;Public Works.ProcessOwner;201955;ridhwannah;OPEN;2019-11-20T09:36:49.000Z;2020-03-23T13:01:12.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110540
57;Instance #110542 of Verification;110542;Verification;5;Public Works.ProcessOwner;201957;ridhwannah;OPEN;2019-11-20T09:38:58.000Z;2020-04-12T09:48:17.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110542
58;Instance #110544 of Verification;110544;Verification;5;Public Works.ProcessOwner;201959;ridhwannah;OPEN;2019-11-20T09:40:08.000Z;2020-04-10T11:01:00.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110544
59;Instance #110546 of Verification;110546;Verification;5;Public Works.ProcessOwner;201961;ridhwannah;OPEN;2019-11-20T09:41:49.000Z;2020-04-24T07:04:58.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110546
60;Instance #110548 of Verification;110548;Verification;5;Public Works.ProcessOwner;201963;ridhwannah;OPEN;2019-11-20T09:45:10.000Z;2020-04-12T10:06:49.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110548
61;Instance #110550 of Verification;110550;Verification;5;Public Works.ProcessOwner;201965;ridhwannah;OPEN;2019-11-20T09:51:42.000Z;2020-04-15T08:37:30.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110550
62;Instance #110552 of Verification;110552;Verification;5;Public Works.ProcessOwner;201967;ridhwannah;OPEN;2019-11-20T09:54:59.000Z;2020-05-10T19:03:42.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110552
63;Instance #100297 of Verification;100297;Verification;5;Public Works.ProcessOwner;201969;ridhwannah;OPEN;2019-11-20T09:57:57.000Z;2020-04-06T10:26:48.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100297
64;Instance #110554 of Verification;110554;Verification;5;Public Works.ProcessOwner;201971;ridhwannah;OPEN;2019-11-20T10:00:26.000Z;2020-05-09T07:36:03.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110554
65;Instance #100299 of Verification;100299;Verification;5;Public Works.ProcessOwner;201973;ridhwannah;OPEN;2019-11-20T10:01:48.000Z;2020-05-09T07:36:15.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100299
66;Instance #100301 of Verification;100301;Verification;5;Public Works.ProcessOwner;201975;ridhwannah;OPEN;2019-11-20T10:03:27.000Z;2020-05-09T07:36:26.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100301
67;Instance #110556 of Verification;110556;Verification;5;Public Works.ProcessOwner;201977;ridhwannah;OPEN;2019-11-20T10:04:46.000Z;2020-05-09T07:36:37.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110556
68;Instance #110558 of Verification;110558;Verification;5;Public Works.ProcessOwner;201979;ridhwannah;OPEN;2019-11-20T10:06:11.000Z;2020-04-28T17:43:22.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110558
69;Instance #110560 of Verification;110560;Verification;5;Public Works.ProcessOwner;201981;ridhwannah;OPEN;2019-11-20T10:07:27.000Z;2019-11-20T10:07:27.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110560
70;Instance #110562 of Verification;110562;Verification;5;Public Works.ProcessOwner;201983;ridhwannah;OPEN;2019-11-20T10:08:39.000Z;2020-05-09T07:36:46.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110562
71;Instance #110564 of Verification;110564;Verification;5;Public Works.ProcessOwner;201985;ridhwannah;OPEN;2019-11-20T10:09:47.000Z;2020-04-21T06:43:34.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110564
72;Instance #110566 of Verification;110566;Verification;5;Public Works.ProcessOwner;201987;ridhwannah;OPEN;2019-11-20T10:11:15.000Z;2020-04-21T06:49:06.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110566
73;Instance #110568 of Verification;110568;Verification;5;Public Works.ProcessOwner;201989;ridhwannah;OPEN;2019-11-20T10:12:10.000Z;2020-04-21T06:45:49.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110568
74;Instance #110570 of Verification;110570;Verification;5;Public Works.ProcessOwner;201991;ridhwannah;OPEN;2019-11-20T10:13:13.000Z;2020-04-22T06:41:17.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110570
75;Instance #110572 of Verification;110572;Verification;5;Public Works.ProcessOwner;201993;ridhwannah;OPEN;2019-11-20T10:14:25.000Z;2020-03-12T10:46:41.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110572
76;Instance #100303 of Verification;100303;Verification;5;Public Works.ProcessOwner;201995;ridhwannah;OPEN;2019-11-20T10:31:30.000Z;2020-04-16T07:47:01.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100303
77;Instance #100306 of Verification;100306;Verification;5;Public Works.ProcessOwner;201998;ridhwannah;OPEN;2019-11-20T10:33:24.000Z;2020-04-21T08:12:17.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100306
78;Instance #110574 of Verification;110574;Verification;5;Public Works.ProcessOwner;202000;ridhwannah;OPEN;2019-11-20T10:40:07.000Z;2020-03-30T08:45:54.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/110574
79;Instance #100308 of Verification;100308;Verification;5;Public Works.ProcessOwner;202002;ridhwannah;OPEN;2019-11-20T10:42:42.000Z;2020-03-23T11:34:18.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100308
80;Instance #100310 of Verification;100310;Verification;5;Public Works.ProcessOwner;202004;ridhwannah;OPEN;2019-11-20T10:45:08.000Z;2020-04-01T09:03:05.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100310
81;Instance #100313 of Verification;100313;Verification;5;Public Works.ProcessOwner;202007;ridhwannah;OPEN;2019-11-20T10:48:21.000Z;2020-04-01T08:41:21.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100313
82;Instance #100315 of Verification;100315;Verification;5;Public Works.ProcessOwner;202009;ridhwannah;OPEN;2019-11-20T10:49:41.000Z;2020-03-23T14:04:40.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100315
83;Instance #100317 of Verification;100317;Verification;5;Public Works.ProcessOwner;202011;ridhwannah;OPEN;2019-11-20T10:52:07.000Z;2020-03-23T14:11:06.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100317
84;Instance #100319 of Verification;100319;Verification;5;Public Works.ProcessOwner;202013;ridhwannah;OPEN;2019-11-20T10:53:50.000Z;2020-03-23T14:07:49.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100319
85;Instance #100321 of Verification;100321;Verification;5;Public Works.ProcessOwner;202015;ridhwannah;OPEN;2019-11-20T10:55:24.000Z;2020-03-24T11:13:20.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100321
86;Instance #100323 of Verification;100323;Verification;5;Public Works.ProcessOwner;202017;ridhwannah;OPEN;2019-11-20T10:56:44.000Z;2020-03-23T14:25:43.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100323
87;Instance #100325 of Verification;100325;Verification;5;Public Works.ProcessOwner;202019;ridhwannah;OPEN;2019-11-20T10:59:06.000Z;2020-03-11T06:40:50.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100325
88;Instance #100327 of Verification;100327;Verification;5;Public Works.ProcessOwner;202021;ridhwannah;OPEN;2019-11-20T11:50:24.000Z;2019-11-20T11:50:24.000Z;oracleinternalpcs~Public_Works!4.2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100327
